电影名,日期,时间,票价,余票
李茶的姑妈,今天 10月8,10:40,￥29.5/张,已售出：8剩余票数：101
李茶的姑妈,今天 10月8,11:25,￥34.5/张,已售出：7剩余票数：79
李茶的姑妈,今天 10月8,12:55,￥34.5/张,已售出：4剩余票数：105
李茶的姑妈,今天 10月8,13:45,￥37.5/张,已售出：0剩余票数：86
李茶的姑妈,今天 10月8,15:10,￥37.5/张,已售出：6剩余票数：103
李茶的姑妈,今天 10月8,16:05,￥37.5/张,已售出：0剩余票数：86
李茶的姑妈,今天 10月8,17:25,￥36.5/张,已售出：3剩余票数：106
李茶的姑妈,今天 10月8,18:20,￥36.5/张,已售出：6剩余票数：80
李茶的姑妈,今天 10月8,19:40,￥39.5/张,已售出：2剩余票数：107
李茶的姑妈,今天 10月8,20:30,￥39.5/张,已售出：0剩余票数：86
李茶的姑妈,今天 10月8,21:55,￥39.5/张,已售出：0剩余票数：109
李茶的姑妈,今天 10月8,22:45,￥29.5/张,已售出：0剩余票数：86
李茶的姑妈,明天 10月9,10:45,￥29.5/张,已售出：0剩余票数：109
李茶的姑妈,明天 10月9,11:45,￥34.5/张,已售出：0剩余票数：86
李茶的姑妈,明天 10月9,13:10,￥37.5/张,已售出：0剩余票数：109
李茶的姑妈,明天 10月9,13:55,￥37.5/张,已售出：0剩余票数：86
李茶的姑妈,明天 10月9,15:25,￥37.5/张,已售出：0剩余票数：109
李茶的姑妈,明天 10月9,16:10,￥37.5/张,已售出：0剩余票数：86
李茶的姑妈,明天 10月9,17:35,￥36.5/张,已售出：0剩余票数：109
李茶的姑妈,明天 10月9,18:25,￥36.5/张,已售出：0剩余票数：86
李茶的姑妈,明天 10月9,19:50,￥39.5/张,已售出：0剩余票数：109
李茶的姑妈,明天 10月9,20:40,￥39.5/张,已售出：0剩余票数：86
李茶的姑妈,明天 10月9,22:00,￥29.5/张,已售出：0剩余票数：109
李茶的姑妈,明天 10月9,22:50,￥29.5/张,已售出：0剩余票数：86
无双,今天 10月8,11:50,￥36.5/张,已售出：3剩余票数：215
无双,今天 10月8,14:20,￥39.5/张,已售出：7剩余票数：211
无双,今天 10月8,15:00,￥49.5/张,已售出：2剩余票数：94
无双,今天 10月8,16:50,￥39.5/张,已售出：6剩余票数：212
无双,今天 10月8,17:30,￥47.5/张,已售出：2剩余票数：94
无双,今天 10月8,19:20,￥42.5/张,已售出：3剩余票数：215
无双,今天 10月8,20:00,￥52.5/张,已售出：2剩余票数：94
无双,今天 10月8,21:50,￥42.5/张,已售出：0剩余票数：218
无双,明天 10月9,09:20,￥32.5/张,已售出：0剩余票数：218
无双,明天 10月9,10:20,￥44.5/张,已售出：0剩余票数：96
无双,明天 10月9,11:50,￥36.5/张,已售出：0剩余票数：218
无双,明天 10月9,14:20,￥39.5/张,已售出：0剩余票数：218
无双,明天 10月9,14:55,￥49.5/张,已售出：0剩余票数：96
无双,明天 10月9,16:50,￥39.5/张,已售出：0剩余票数：218
无双,明天 10月9,17:45,￥36.5/张,已售出：0剩余票数：86
无双,明天 10月9,19:20,￥42.5/张,已售出：0剩余票数：218
无双,明天 10月9,20:10,￥39.5/张,已售出：0剩余票数：86
无双,明天 10月9,21:50,￥42.5/张,已售出：0剩余票数：218
胖子行动队,今天 10月8,12:50,￥49.5/张,已售出：5剩余票数：91
胖子行动队,今天 10月8,14:30,￥37.5/张,已售出：0剩余票数：86
胖子行动队,今天 10月8,16:35,￥37.5/张,已售出：0剩余票数：86
胖子行动队,今天 10月8,18:40,￥39.5/张,已售出：8剩余票数：78
胖子行动队,今天 10月8,20:50,￥39.5/张,已售出：0剩余票数：86
胖子行动队,今天 10月8,22:30,￥49.5/张,已售出：0剩余票数：96
胖子行动队,明天 10月9,09:25,￥34.5/张,已售出：0剩余票数：86
胖子行动队,明天 10月9,11:30,￥34.5/张,已售出：0剩余票数：86
胖子行动队,明天 10月9,12:50,￥49.5/张,已售出：0剩余票数：96
胖子行动队,明天 10月9,15:40,￥37.5/张,已售出：0剩余票数：86
胖子行动队,明天 10月9,17:20,￥49.5/张,已售出：0剩余票数：96
胖子行动队,明天 10月9,21:40,￥52.5/张,已售出：0剩余票数：96
影,今天 10月8,11:45,￥34.5/张,已售出：12剩余票数：206
影,今天 10月8,14:10,￥37.5/张,已售出：8剩余票数：210
影,今天 10月8,16:30,￥37.5/张,已售出：5剩余票数：213
影,今天 10月8,18:50,￥39.5/张,已售出：12剩余票数：206
影,今天 10月8,21:10,￥39.5/张,已售出：0剩余票数：218
影,明天 10月9,09:50,￥34.5/张,已售出：0剩余票数：218
影,明天 10月9,12:10,￥34.5/张,已售出：0剩余票数：218
影,明天 10月9,14:25,￥37.5/张,已售出：0剩余票数：218
影,明天 10月9,16:40,￥37.5/张,已售出：0剩余票数：218
影,明天 10月9,19:00,￥39.5/张,已售出：0剩余票数：218
影,明天 10月9,21:20,￥39.5/张,已售出：0剩余票数：218
悲伤逆流成河,今天 10月8,12:20,￥34.5/张,已售出：4剩余票数：82
悲伤逆流成河,今天 10月8,16:00,￥37.5/张,已售出：6剩余票数：71
悲伤逆流成河,今天 10月8,20:10,￥39.5/张,已售出：0剩余票数：77
悲伤逆流成河,今天 10月8,22:55,￥29.5/张,已售出：0剩余票数：86
悲伤逆流成河,明天 10月9,10:30,￥29.5/张,已售出：0剩余票数：77
悲伤逆流成河,明天 10月9,13:35,￥37.5/张,已售出：0剩余票数：86
悲伤逆流成河,明天 10月9,16:45,￥37.5/张,已售出：0剩余票数：77
悲伤逆流成河,明天 10月9,20:50,￥39.5/张,已售出：0剩余票数：77
悲伤逆流成河,明天 10月9,22:35,￥29.5/张,已售出：0剩余票数：86
找到你,今天 10月8,12:00,￥34.5/张,已售出：9剩余票数：68
找到你,今天 10月8,14:00,￥37.5/张,已售出：5剩余票数：72
找到你,今天 10月8,18:05,￥36.5/张,已售出：2剩余票数：75
找到你,今天 10月8,22:15,￥29.5/张,已售出：0剩余票数：77
找到你,明天 10月9,12:35,￥34.5/张,已售出：0剩余票数：77
找到你,明天 10月9,14:40,￥37.5/张,已售出：0剩余票数：77
找到你,明天 10月9,18:50,￥39.5/张,已售出：0剩余票数：77
找到你,明天 10月9,22:55,￥29.5/张,已售出：0剩余票数：77
阿凡提之奇缘历险,今天 10月8,无场次,无,无
阿凡提之奇缘历险,明天 10月9,10:00,￥34.5/张,已售出：0剩余票数：86
